"x","y","z","z_noisy","z_constrained","x_grad","y_grad","x_grad_noisy","y_grad_noisy"
-10,-10,2594,2587.36912113646,NA,-43.0282624222018,-43.8363432302822,-5.15794968022692,-26.300736127419
-9.7979797979798,-10,2550.16365676972,2561.06838500904,NA,-42.7017651260085,-43.6322824201611,-50.8454930423582,-48.9352636230819
-9.5959595959596,-10,2506.73543515968,2489.4985938903,NA,-42.3752678298133,-43.2241607999185,-39.6707710180008,-51.4846587734519
-9.39393939393939,-10,2463.71533516988,2458.09906746214,NA,-42.0487705336191,-42.8160391796757,-68.2842386749226,-1.40115124539352
-9.19191919191919,-10,2421.10335680033,2486.69629139951,NA,-41.7222732374244,-42.4079175594327,-107.895840744186,-35.9463173037625
-8.98989898989899,-10,2378.89950005102,2386.20643285461,NA,-41.3957759412301,-41.9997959391897,-22.8645629247094,-72.1210039795567
-8.78787878787879,-10,2337.10376492195,2342.4542834404,NA,-41.0692786450372,-41.5916743189468,-26.2970625155931,-49.7176691698915
-8.58585858585859,-10,2295.71615141312,2286.77109451483,NA,-40.7427813488425,-41.1835526987043,-64.0837194915366,-44.0069013037778
-8.38383838383838,-10,2254.73665952454,2254.44048083284,NA,-40.4162840526478,-40.7754310784619,-40.7517222167262,-29.2505564946157
-8.18181818181818,-10,2214.1652892562,2228.2699815256,NA,-40.0897867564531,-40.3673094582186,-62.1959500921621,-39.3731515609093
-7.97979797979798,-10,2174.0020406081,2175.69417771102,NA,-39.7632894602593,-39.9591878379756,-66.686442393001,-45.5383364050103
-7.77777777777778,-10,2134.24691358025,2137.19330871558,NA,-39.4367921640651,-39.5510662177326,-21.0943281208479,-41.332631962752
-7.57575757575758,-10,2094.89990817264,2093.02891378552,NA,-39.1102948678717,-39.14294459749,-55.170045300752,-33.7978591649271
-7.37373737373737,-10,2055.96102438527,2069.59759038572,NA,-38.7837975716761,-38.7348229772476,-58.1563167304771,-37.1726910406501
-7.17171717171717,-10,2017.43026221814,2018.68353170422,NA,-38.4573002754819,-38.3267013570044,-35.7405397818607,-29.9914988756583
-6.96969696969697,-10,1979.30762167126,2009.61459263441,NA,-38.1308029792879,-37.9185797367613,-86.6172553849178,-37.4132024953735
-6.76767676767677,-10,1941.59310274462,1943.85712671347,NA,-37.8043056830938,-37.5104581165186,-36.2322701075934,-45.0611499193488
-6.56565656565657,-10,1904.28670543822,1919.49229279571,NA,-37.4778083868998,-37.1023364962761,-61.4641991241688,-33.8453870783799
