"x","y","z","type"
-10,-10,2585.82516356424,"noise"
-9.7979797979798,-10,2580.61913857357,"noise"
-9.5959595959596,-10,2521.27961540688,"noise"
-9.39393939393939,-10,2429.2554500732,"noise"
-9.19191919191919,-10,2385.88039803701,"noise"
-8.98989898989899,-10,2373.71136000145,"noise"
-8.78787878787879,-10,2346.9558119072,"noise"
-8.58585858585859,-10,2297.11406530538,"noise"
-8.38383838383838,-10,2264.056866639,"noise"
-8.18181818181818,-10,2200.3073449743,"noise"
-7.97979797979798,-10,2155.71720330363,"noise"
-7.77777777777778,-10,2164.1659441274,"noise"
-7.57575757575758,-10,2098.42451713467,"noise"
-7.37373737373737,-10,2065.46190825412,"noise"
-7.17171717171717,-10,1983.69012697838,"noise"
-6.96969696969697,-10,1987.69674238089,"noise"
-6.76767676767677,-10,1923.81653525919,"noise"
-6.56565656565657,-10,1876.21351579331,"noise"
-6.36363636363636,-10,1869.37257139326,"noise"
-6.16161616161616,-10,1839.34675750629,"noise"
-5.95959595959596,-10,1779.52979875163,"noise"
-5.75757575757576,-10,1779.66929579582,"noise"
-5.55555555555556,-10,1719.90538540039,"noise"
-5.35353535353535,-10,1689.60360829631,"noise"
-5.15151515151515,-10,1651.55318214952,"noise"
-4.94949494949495,-10,1619.84857560854,"noise"
-4.74747474747475,-10,1615.05182475824,"noise"
-4.54545454545455,-10,1569.02783426054,"noise"
-4.34343434343434,-10,1495.77668278004,"noise"
-4.14141414141414,-10,1512.59023078427,"noise"
-3.93939393939394,-10,1447.07409675904,"noise"
-3.73737373737374,-10,1436.03495395075,"noise"
-3.53535353535354,-10,1403.78911844182,"noise"
-3.33333333333333,-10,1350.76652946938,"noise"
-3.13131313131313,-10,1316.42380634906,"noise"
-2.92929292929293,-10,1328.14514101455,"noise"
-2.72727272727273,-10,1253.82406269429,"noise"
-2.52525252525253,-10,1224.90422170193,"noise"
-2.32323232323232,-10,1218.4162216712,"noise"
-2.12121212121212,-10,1197.93256099473,"noise"
-1.91919191919192,-10,1191.03888638613,"noise"
-1.71717171717172,-10,1132.58254833118,"noise"
-1.51515151515152,-10,1121.44339566058,"noise"
-1.31313131313131,-10,1069.71722781864,"noise"
-1.11111111111111,-10,1049.09877661473,"noise"
-0.90909090909091,-10,1044.99093905506,"noise"
-0.707070707070708,-10,1002.91532679733,"noise"
-0.505050505050505,-10,1022.40897322538,"noise"
-0.303030303030303,-10,934.891949291755,"noise"
-0.1010101010101,-10,934.280620722962,"noise"
0.1010101010101,-10,893.368130303371,"noise"
0.303030303030303,-10,887.007136525623,"noise"
0.505050505050505,-10,843.937918105178,"noise"
0.707070707070708,-10,818.542172612307,"noise"
0.909090909090908,-10,779.940371699185,"noise"
1.11111111111111,-10,801.86730625746,"noise"
1.31313131313131,-10,755.540725804054,"noise"
1.51515151515152,-10,761.991177452431,"noise"
1.71717171717172,-10,725.548772195781,"noise"
1.91919191919192,-10,691.079464229652,"noise"
2.12121212121212,-10,672.257960527035,"noise"
2.32323232323232,-10,670.639360486473,"noise"
2.52525252525252,-10,658.395267253719,"noise"
2.72727272727273,-10,646.300589169233,"noise"
2.92929292929293,-10,606.964585500288,"noise"
3.13131313131313,-10,591.206403928317,"noise"
3.33333333333333,-10,559.924600152085,"noise"
3.53535353535353,-10,568.070532492044,"noise"
3.73737373737374,-10,509.884973526977,"noise"
3.93939393939394,-10,541.590007901198,"noise"
4.14141414141414,-10,533.608805246912,"noise"
4.34343434343434,-10,487.298439639899,"noise"
4.54545454545454,-10,481.857526057999,"noise"
4.74747474747475,-10,505.383127271619,"noise"
4.94949494949495,-10,460.903853238589,"noise"
5.15151515151515,-10,428.381346538537,"noise"
5.35353535353535,-10,435.007739460493,"noise"
5.55555555555556,-10,410.684575396608,"noise"
5.75757575757576,-10,400.586268987861,"noise"
5.95959595959596,-10,379.227156508671,"noise"
6.16161616161616,-10,360.319758975467,"noise"
6.36363636363636,-10,382.778305978813,"noise"
6.56565656565656,-10,322.884881531123,"noise"
6.76767676767677,-10,362.145973912496,"noise"
6.96969696969697,-10,337.067975964602,"noise"
7.17171717171717,-10,315.995062982871,"noise"
7.37373737373737,-10,339.158851250068,"noise"
7.57575757575757,-10,294.595923342942,"noise"
7.77777777777778,-10,297.581685534975,"noise"
7.97979797979798,-10,265.794178512967,"noise"
8.18181818181818,-10,290.749206436386,"noise"
8.38383838383838,-10,287.424480163286,"noise"
8.58585858585858,-10,325.060971855734,"noise"
8.78787878787879,-10,288.783643503455,"noise"
8.98989898989899,-10,223.207960387428,"noise"
9.19191919191919,-10,278.275652821996,"noise"
9.39393939393939,-10,232.041036065485,"noise"
9.5959595959596,-10,266.498387019689,"noise"
9.7979797979798,-10,256.087219602403,"noise"
10,-10,241.442928529153,"noise"
-10,-9.7979797979798,2508.45322887549,"noise"
-9.7979797979798,-9.7979797979798,2497.51827306132,"noise"
-9.5959595959596,-9.7979797979798,2460.63735147444,"noise"
-9.39393939393939,-9.7979797979798,2427.63691681053,"noise"
-9.19191919191919,-9.7979797979798,2355.36363543322,"noise"
-8.98989898989899,-9.7979797979798,2328.23416238204,"noise"
-8.78787878787879,-9.7979797979798,2269.47755135044,"noise"
-8.58585858585859,-9.7979797979798,2270.26137253727,"noise"
-8.38383838383838,-9.7979797979798,2206.76575252573,"noise"
-8.18181818181818,-9.7979797979798,2207.89921045396,"noise"
-7.97979797979798,-9.7979797979798,2107.71172738559,"noise"
-7.77777777777778,-9.7979797979798,2088.61907619677,"noise"
-7.57575757575758,-9.7979797979798,2045.70749947846,"noise"
-7.37373737373737,-9.7979797979798,2030.78548106915,"noise"
-7.17171717171717,-9.7979797979798,1971.81646635968,"noise"
-6.96969696969697,-9.7979797979798,1924.27972498888,"noise"
-6.76767676767677,-9.7979797979798,1908.61442603296,"noise"
