"x","y","z","z_noisy","z_constrained","x_grad","y_grad","x_grad_noisy","y_grad_noisy"
-10,-10,2594,3221.04899703769,NA,-214,-218,-240.820759528659,-108.270649550869
-9.7979797979798,-10,2550.16365676972,3199.17613854256,NA,-211.979797979798,-216.383838383838,-236.734796508992,-98.8505351696581
-9.5959595959596,-10,2506.73543515968,3181.10938686813,NA,-209.959595959596,-214.767676767677,-231.856672796135,-88.9535686998739
-9.39393939393939,-10,2463.71533516988,3163.23530270423,NA,-207.939393939394,-213.151515151515,-227.163270736842,-94.2490551285652
-9.19191919191919,-10,2421.10335680033,3143.02896055356,NA,-205.919191919192,-211.535353535354,-222.480098731302,-106.379990078155
-8.98989898989899,-10,2378.89950005102,3120.25348853124,NA,-203.89898989899,-209.919191919192,-217.353625754822,-119.584813685106
-8.78787878787879,-10,2337.10376492195,3094.71186411513,NA,-201.878787878788,-208.30303030303,-212.21181416865,-126.057741369443
-8.58585858585859,-10,2295.71615141312,3069.32106777591,NA,-199.858585858586,-206.686868686869,-207.54511366362,-123.058616190939
-8.38383838383838,-10,2254.73665952454,3044.99121110869,NA,-197.838383838384,-205.070707070707,-202.991218969499,-115.654046382742
-8.18181818181818,-10,2214.1652892562,3022.59216014651,NA,-195.818181818182,-203.454545454545,-198.226814168761,-112.168567555963
-7.97979797979798,-10,2174.0020406081,2999.67057775274,NA,-193.79797979798,-201.838383838384,-193.084381105994,-117.72102173963
-7.77777777777778,-10,2134.24691358025,2975.02811095879,NA,-191.777777777778,-200.222222222222,-187.510935699759,-128.181246118037
-7.57575757575758,-10,2094.89990817264,2947.88017528081,NA,-189.757575757576,-198.606060606061,-181.637323401596,-137.870151504032
-7.37373737373737,-10,2055.96102438527,2919.32299923998,NA,-187.737373737374,-196.989898989899,-175.919358959032,-144.74484834942
-7.17171717171717,-10,2017.43026221814,2889.39740827094,NA,-185.717171717172,-195.373737373737,-170.568223068798,-154.70769539364
-6.96969696969697,-10,1979.30762167126,2856.81483948498,NA,-183.69696969697,-193.757575757576,-165.835054294671,-166.696244999506
-6.76767676767677,-10,1941.59310274462,2822.04539008932,NA,-181.676767676768,-192.141414141414,-161.657465405744,-175.529816053506
-6.56565656565657,-10,1904.28670543822,2785.89370168558,NA,-179.656565656566,-190.525252525253,-157.283276207221,-180.818564823777
-6.36363636363636,-10,1867.38842975207,2748.98738409992,NA,-177.636363636364,-188.909090909091,-152.796093033183,-184.145506629112
-6.16161616161616,-10,1830.89827568615,2711.49147678493,NA,-175.616161616162,-187.292929292929,-148.729327419784,-190.484592345485
-5.95959595959596,-10,1794.81624324049,2672.02391244518,NA,-173.59595959596,-185.676767676768,-145.148154951849,-200.629772316245
-5.75757575757576,-10,1759.14233241506,2630.42894251574,NA,-171.575757575758,-184.060606060606,-141.74352349356,-213.235866222833
-5.55555555555556,-10,1723.87654320988,2585.8680069006,NA,-169.555555555556,-182.444444444444,-138.168394847867,-229.496119796818
-5.35353535353535,-10,1689.01887562494,2537.70323754733,NA,-167.535353535354,-180.828282828283,-134.804727355476,-246.366331415595
-5.15151515151515,-10,1654.56932966024,2486.32605481349,NA,-165.515151515152,-179.212121212121,-131.395085562551,-264.312297698754
-4.94949494949495,-10,1620.52790531578,2430.91038999228,NA,-163.494949494949,-177.59595959596,-128.136715281024,-275.165718462827
-4.74747474747475,-10,1586.89460259157,2375.1479867477,NA,-161.474747474747,-175.979797979798,-124.456764058565,-271.141188156439
-4.54545454545455,-10,1553.6694214876,2321.35839477756,NA,-159.454545454545,-174.363636363636,-120.374506990571,-265.100624455533
-4.34343434343434,-10,1520.85236200388,2268.03662333132,NA,-157.434343434343,-172.747474747475,-116.180700058096,-268.057518846165
-4.14141414141414,-10,1488.44342414039,2213.05232655688,NA,-155.414141414141,-171.131313131313,-111.934969824116,-274.253505555207
-3.93939393939394,-10,1456.44260789715,2157.2271261373,NA,-153.393939393939,-169.515151515152,-107.834209735142,-279.217958737122
-3.73737373737374,-10,1424.84991327416,2100.2369896934,NA,-151.373737373737,-167.89898989899,-103.54346384002,-286.642753974033
-3.53535353535354,-10,1393.6653402714,2041.41187200638,NA,-149.353535353535,-166.282828282828,-99.737479354767,-291.883767511491
-3.33333333333333,-10,1362.88888888889,1982.30415433522,NA,-147.333333333333,-164.666666666667,-96.9172839342229,-287.32714340366
